phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,source
train,0.6,32,-1,0.9131428571428571,265.8266235115246,4.861111111111112,0,0,74,13,285.5,23.47926199261993,308.9792619926199,-1282.0,-901.26,-2183.26,76,50,46,63,53,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,33,-1,0.9104285714285714,152.21153138376366,75.69444444444444,0,0,0,0,252.2,23.47926199261993,275.67926199262,366.0,-910.62,-544.6199999999999,70,58,50,53,57,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,34,-1,0.9077142857142856,86.99358479637506,40.625,122,6,0,0,265.8,23.47926199261993,289.2792619926199,-2985.0,-961.86,-3946.86,56,58,68,43,63,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,35,-1,0.905,60.43432755815944,14.23611111111111,218,8,0,0,255.7,23.47926199261993,279.1792619926199,-5484.0,-908.4,-6392.400000000001,61,72,50,49,56,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,36,-1,0.9022857142857142,109.19663632898468,43.05555555555556,72,12,0,0,282.7,23.47926199261993,306.1792619926199,-1770.0,-984.9,-2754.9,54,59,58,54,63,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,37,-1,0.8995714285714286,176.07664026647203,61.11111111111112,0,0,0,0,311.7,23.47926199261993,335.1792619926199,240.0,-891.3599999999999,-651.3599999999999,76,60,40,56,56,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,38,-1,0.8968571428571429,159.395790514527,78.47222222222221,0,0,0,0,283.1,23.47926199261993,306.57926199261993,390.0,-817.02,-427.02,80,56,61,46,45,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,39,-1,0.8941428571428571,205.16507229359644,26.38888888888889,0,0,0,0,229.1,23.47926199261993,252.57926199261996,-60.0,-886.9199999999998,-946.9199999999998,72,67,45,46,58,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,40,-1,0.8914285714285715,91.13859539844616,35.76388888888889,117,13,0,0,260.3,23.47926199261993,283.7792619926199,-2934.0,-939.66,-3873.66,60,48,70,57,53,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,41,-1,0.8887142857142857,164.63279353822423,68.40277777777779,0,0,0,0,272.8,23.47926199261993,296.2792619926199,303.0,-896.4,-593.4,84,45,48,51,60,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,42,-1,0.886,85.43518077229442,53.81944444444444,67,12,0,0,228.7,23.47926199261993,252.17926199261996,-1629.0,-815.2799999999999,-2444.28,81,61,56,42,48,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,43,-1,0.8832857142857142,91.3332591299706,59.02777777777778,82,7,0,0,260.5,23.47926199261993,283.9792619926199,-1854.0,-856.26,-2710.26,68,64,60,49,47,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,44,-1,0.8805714285714286,86.89770265042537,52.083333333333336,113,5,0,0,280.8,23.47926199261993,304.2792619926199,-2625.0,-986.16,-3611.16,55,58,51,64,60,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,45,-1,0.8778571428571429,109.0723231203119,73.95833333333334,40,7,0,0,252.8,23.47926199261993,276.2792619926199,-714.0,-912.96,-1626.96,75,50,54,49,60,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,46,-1,0.8751428571428571,265.8664144617266,0.0,0,0,74,7,244.1,23.47926199261993,267.57926199261993,-1324.0,-873.8999999999999,-2197.9,65,60,61,57,45,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,47,-1,0.8724285714285714,87.0258892853621,57.29166666666666,70,10,0,0,261.4,23.47926199261993,284.8792619926199,-1632.0,-892.3199999999999,-2524.32,69,69,43,51,56,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,48,-1,0.8697142857142857,161.14726094225378,70.48611111111111,0,0,0,0,263.5,23.47926199261993,286.9792619926199,300.0,-939.42,-639.42,66,66,44,47,65,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,49,-1,0.867,102.7701219923618,66.66666666666666,83,7,0,0,289.5,23.47926199261993,312.9792619926199,-1743.0,-912.24,-2655.24,80,47,46,55,60,dqn_penalty_sweep_coeff_0_6_seed42.csv
eval,0.6,49,0,0.0,149.07034771107126,88.19444444444444,0,0,0,0,303.0,23.47926199261993,326.4792619926199,474.0,-957.78,-483.7799999999999,77,25,77,42,67,dqn_penalty_sweep_coeff_0_6_seed42.csv
eval,0.6,49,1,0.0,169.07453084297362,62.84722222222222,0,0,0,0,178.0,23.47926199261993,201.47926199261997,255.0,-701.58,-446.5799999999999,123,28,61,31,45,dqn_penalty_sweep_coeff_0_6_seed42.csv
eval,0.6,49,2,0.0,98.94229608813204,50.0,65,9,0,0,150.2,23.47926199261993,173.67926199261993,-1578.0,-749.7599999999999,-2327.76,85,78,55,22,48,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,50,-1,0.8642857142857143,179.5130165154165,43.05555555555556,2,1,0,0,258.5,23.47926199261993,281.9792619926199,12.0,-938.28,-926.28,69,51,57,49,62,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,51,-1,0.8615714285714285,102.63503659827254,70.83333333333334,45,4,0,0,235.4,23.47926199261993,258.8792619926199,-855.0,-939.78,-1794.7799999999995,70,54,43,62,59,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,52,-1,0.8588571428571429,136.09358848454133,94.79166666666666,0,0,0,0,276.20000000000005,23.47926199261993,299.67926199262,519.0,-990.9,-471.9,62,46,55,62,63,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,53,-1,0.8561428571428571,207.59801315027656,30.20833333333333,0,0,0,0,282.2,23.47926199261993,305.6792619926199,-27.0,-841.14,-868.1399999999999,77,55,60,49,47,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,54,-1,0.8534285714285714,105.23438606970406,55.90277777777778,78,10,0,0,248.7,23.47926199261993,272.1792619926199,-1785.0,-943.38,-2728.38,63,58,53,55,59,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,55,-1,0.8507142857142858,145.9916831081165,59.72222222222222,13,2,0,0,300.70000000000005,23.47926199261993,324.17926199262,-159.0,-936.3,-1095.3,51,64,62,62,49,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,56,-1,0.848,110.33146400039593,79.86111111111111,18,6,0,0,257.7,23.47926199261993,281.1792619926199,-150.0,-982.62,-1132.62,66,51,51,51,69,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,57,-1,0.8452857142857143,171.79124922157294,56.59722222222222,0,0,0,0,282.0,23.47926199261993,305.4792619926199,201.0,-942.3,-741.3,61,56,66,44,61,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,58,-1,0.8425714285714285,106.69945524952568,57.98611111111112,107,2,0,0,271.5,23.47926199261993,294.9792619926199,-2391.0,-840.7199999999999,-3231.72,77,62,57,40,52,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,59,-1,0.8398571428571429,160.22452021167308,59.02777777777778,16,2,0,0,273.0,23.47926199261993,296.4792619926199,-168.0,-910.74,-1078.7399999999998,73,50,52,58,55,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,60,-1,0.8371428571428572,71.16875664880256,33.68055555555556,152,7,0,0,248.6,23.47926199261993,272.07926199261993,-3762.0,-911.88,-4673.880000000001,61,60,58,59,50,dqn_penalty_sweep_coeff_0_6_seed42.csv
